"filename", "language", "JavaScript", "Python", "Django HTML", "comment", "blank", "total"
"c:\Users\tnblt\Desktop\phaser-game\index.html", "Django HTML", 0, 0, 26, 0, 1, 27
"c:\Users\tnblt\Desktop\phaser-game\libs\phaser.js", "JavaScript", 94243, 0, 0, 116298, 36937, 247478
"c:\Users\tnblt\Desktop\phaser-game\src\ControlScene.js", "JavaScript", 69, 0, 0, 17, 13, 99
"c:\Users\tnblt\Desktop\phaser-game\src\Dialog.js", "JavaScript", 64, 0, 0, 8, 10, 82
"c:\Users\tnblt\Desktop\phaser-game\src\DialogManager.js", "JavaScript", 94, 0, 0, 9, 14, 117
"c:\Users\tnblt\Desktop\phaser-game\src\Scene1.js", "JavaScript", 24, 0, 0, 12, 8, 44
"c:\Users\tnblt\Desktop\phaser-game\src\Scene2.js", "JavaScript", 124, 0, 0, 19, 17, 160
"c:\Users\tnblt\Desktop\phaser-game\src\Scene3.js", "JavaScript", 54, 0, 0, 11, 10, 75
"c:\Users\tnblt\Desktop\phaser-game\src\Scene4.js", "JavaScript", 95, 0, 0, 19, 22, 136
"c:\Users\tnblt\Desktop\phaser-game\src\Scene5.js", "JavaScript", 72, 0, 0, 19, 22, 113
"c:\Users\tnblt\Desktop\phaser-game\src\Scene6.js", "JavaScript", 306, 0, 0, 64, 77, 447
"c:\Users\tnblt\Desktop\phaser-game\src\Scene7.js", "JavaScript", 84, 0, 0, 14, 16, 114
"c:\Users\tnblt\Desktop\phaser-game\src\Scene8.js", "JavaScript", 8, 0, 0, 2, 4, 14
"c:\Users\tnblt\Desktop\phaser-game\src\Scene9.js", "JavaScript", 8, 0, 0, 2, 2, 12
"c:\Users\tnblt\Desktop\phaser-game\src\TransitionScene.js", "JavaScript", 21, 0, 0, 4, 6, 31
"c:\Users\tnblt\Desktop\phaser-game\src\main.js", "JavaScript", 22, 0, 0, 2, 4, 28
"c:\Users\tnblt\Desktop\phaser-game\tools\img_edit.py", "Python", 0, 22, 0, 6, 7, 35
"Total", "-", 95288, 22, 26, 116506, 37170, 249012